Comunidad;Provincia;Distrito Notarial;Localidad / Plaza;Clase;Notas;Anterior Notario
Principado de Asturias;Asturias;;Gijón;Resulta;Nº4;Sara Jimena Unceta de la Cruz
Extremadura;Cáceres;;Jarandilla de la Vera;Resulta;Nº5;Daniel Alonso Carrasco
Andalucía;Sevilla;;El Cuervo de Sevilla;Resulta;Nº6;Carlos Giovanni Collados Serrano
País Vasco;Bizkaia/Vizcaya;;Gernika-Lumo;Resulta;Nº7;Igor Ispizua Omar
Andalucía;Córdoba;;Peñarroya-Pueblonuevo;Resulta;Nº8;Juan José Pedraza Guerrero
Castilla y León;Valladolid;;Medina de Rioseco;Resulta;Nº9;José María Botella Pedraza
País Vasco;Gipuzkoa/Guipúzcoa;;Zumarraga;Resulta;Nº10;Marta García-Jalón Luzuriaga
Cataluña;Girona;;Cadaqués;Resulta;Nº11;Pedro Luis García de los Huertos Sánchez
Andalucía;Jaén;;Bailén;Resulta;Nº12;Alfonso García-Perrote Latorre
Aragón;Zaragoza;;Calatayud;Resulta;Nº13;Fernando Agustín Bonaga
Galicia;A Coruña;;San Sadurniño;Resulta;Nº14;José Francisco Bódalo Lorente
Castilla-La Mancha;Toledo;;Calera y Chozas;Resulta;Nº17;María Teresa de Almansa Garrido
Aragón;Zaragoza;;Zaragoza-Actur;Resulta;Nº18;Fermín Moreno Ayyuadé
País Vasco;Bizkaia/Vizcaya;;Elorrio;Resulta;Nº19;Ana Santamarina Martínez
Castilla y León;Segovia;;Santa María la Real de Nieva;Resulta;Nº20;Ana María Gómez Alonso
Comunitat Valenciana;Castelló/Castellón;;Betxí;Resulta;Nº21;Paula Breva Calatayud
Galicia;Ourense;;Viana do Bolo;Resulta;Nº22;Álvaro Álvarez Guerra
Comunitat Valenciana;Alicante/Alacant;;Torrevieja;Resulta;Nº23;José Antonio Pérez Álvarez
Comunitat Valenciana;València/Valencia;;Alzira;Resulta;Nº24;Miguel Ildefonso Gallut Ortega
Región de Murcia;Murcia;;Beniel;Resulta;Nº25;Fernando Viguria Alday
Principado de Asturias;Asturias;;Castropol;Resulta;Nº26;Mireya Cristina Martínez Badás
País Vasco;Bizkaia/Vizcaya;;Gernika-Lumo;Resulta;Nº27;Alfonso Ansola Horcajo
Comunitat Valenciana;Alicante/Alacant;;Xàbia/Jávea;Resulta;Nº28;Juan Luis Millet Sancho
Castilla-La Mancha;Ciudad Real;;Campo de Criptana;Resulta;Nº29;Ana Sulleiro Avendaño
Andalucía;Córdoba;;Moriles;Resulta;Nº30;Eduardo Anaya Echevarría
Cataluña;Tarragona;;Deltebre;Resulta;Nº31;Juan Sánchez Oriola
Andalucía;Córdoba;;Cabra;Resulta;Nº32;Manuel Pozuelo Vázquez de Agredos
Cataluña;Lleida;;Artesa de Segre;Resulta;Nº33;Andrés García Molina
Andalucía;Jaén;;Alcalá la Real;Resulta;Nº34;María Isabel Martí del Moral
Illes Balears;Illes Balears;;Porreres;Resulta;Nº35;Paula Llompart Riutort
Canarias;Santa Cruz de Tenerife;;Los Realejos;Resulta;Nº36;Javier Pichel Pichel
Comunitat Valenciana;Alicante/Alacant;;Dolores;Resulta;Nº37;Jorge Pérez Álvarez
Comunitat Valenciana;Alicante/Alacant;;Petrer;Resulta;Nº38;María Ángeles Santamaría Juan
Comunitat Valenciana;València/Valencia;;La Font d'en Carròs;Resulta;Nº39;Blanca Sapena Gotor
Cataluña;Barcelona;;Cornellà de Llobregat;Resulta;Nº40;Carlos Manuel Parejo-Merino Parejo
